Key,Summary,Project,Assignee,Description,Status,Issue Type,Created Date,Comments
SH-5705,Neighbour meter details required as requested by Intellismart,Success Hub,Naman,,Open,Service Request,2025-05-09T17:33:08.261+0530,
SH-5704,NEED TO REPUSH BILL DATA OF MAY 25 for the attached meters to MDM,Success Hub,Nikhil Kumar,"Hi Nikhil ,  Please repush the bill data of MAY 25 to MDM from DB for the attached list of meters. Thanks and Regards, PRAYAS PATRA  ",Review,Issue,2025-05-09T16:49:49.642+0530,"Nikhil Kumar: Repush the Billing data of given 25 meters to MDM.  ,    | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5702,DP validation required,Success Hub,Naman,No description,Open,Issue,2025-05-09T15:09:34.941+0530,Biplob Chutia: PU2959675  PU10004731 PU10000508 PU10000400    Pl validate these meters as consumers balance not getting deduction. 
SH-5701,Please share all the 101 and 102 power events of april month,Success Hub,Lyba Noor,Please share all the 101 and 102 power events of the following meters mentioned in the list,Review,Issue,2025-05-09T14:46:19.741+0530,"Lyba Noor:  | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5700,AMI 1&2 : Unable to download DP SLA from HES reports,Success Hub,Ansh Sharma,cc :        ,Open,Issue,2025-05-09T14:26:36.560+0530,
SH-5699,AMI 1&2 :  Fail all pending DC commands in AMI 1 and 2,Success Hub,Ansh Sharma,"We are currently facing a significant issue in RC-DC operations. As of now, there are over  800 RCs pending  execution with overall 5000+Commands are pending. If the existing Disconnection (DC) commands in AMI 1 and 2 are not failed immediately, the successful execution of these DCs will trigger corresponding RCs, which could lead to a major operational challenge. In light of this, we request your approval to  fail all pending DC commands in AMI 1 and 2  at the earliest. This will allow us to prioritize and manage the RC commands effectively without adding further load to the system. ",Review,Service Request,2025-05-09T14:22:09.206+0530,"Ansh Sharma:  I have failed the pending DC commands | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5698,AMI 1&2 : Manual DP validation required,Success Hub,Ansh Sharma,No description,Open,Service Request,2025-05-09T14:03:35.141+0530,
SH-5697,SLA API issue in GVPR WB.,Success Hub,Nikhil Kumar,"Hi team ,  SLA API issue in GVPR which has been provided to OUA team. I have attached the list of meters for which we have billing data in UI  , but using API , we are not getting JSON response for the mentioned Meters. It is impacting the Clients billing , kindly look into the issue. Kindly check.   Thanks and Regards, PRAYAS PATRA",Review,Issue,2025-05-09T14:00:55.171+0530,"Nikhil Kumar: PFA the list of meters and the corresponding slaid, for which I reinserted the data with createdDate as 2 April 2025 8 AM | Nikhil Kumar:     FYI | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5695,"Please change the template ID from 10 to 94 for below two meters(AP10408213, SC10217095) at APDCL Apraava ",Success Hub,Unassigned,please change the template ID from 10 to  94  for below two meters at APDCL Apraava   ,Open,Service Request,2025-05-09T13:54:22.175+0530,
SH-5694,"AMI 1&2 : Need meters with no IP, LS, DP and Event at 12:00 AM",Success Hub,Ansh Sharma,No description,Open,Service Request,2025-05-09T12:36:04.527+0530,
SH-5692,Last Gasp and Power Events required,Success Hub,Naman,No description,Review,Service Request,2025-05-09T11:34:36.591+0530,"Naman: PFA The required data shared over teams previously - Moving this in review, let me know if anything remains ~ | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5691,Response Structures for Below commands,Success Hub,Ritik Kumar,Need response structures for below commands -  Need  Success and Failure Responses. Please get it from WB.,Review,Task,2025-05-09T11:24:26.281+0530,"Avinash Kumar: Power event, RCDC, Block load shared already. | Ritik Kumar: Now, please note, for Blockload and Event, I've not put the request and response here in the file, as due to the Character limit, it is not allowing me to paste the complete content So please consider the files I've shared for the event, and block load requests and responses | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5683,Apraava HP | Correct the template for HTCT consumer meter in TCP and nameplate table,Success Hub,Ayush Rajput,Change the template to 79 for HTCT consumer meters( starting with SZ002 and SZ001) registered with template 21. Also make the required changes in TCP table to avoid this in future.,Review,Issue,2025-05-09T00:13:06.955+0530,"Ayush Rajput:  I have corrected the template for the meters you have mentioned in the tickets | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5676,Apraava APDCL - HESCommand blocking impacting new coming commands from MDM,Success Hub,Rashi Garg,,In Progress,Incident,2025-05-08T17:40:49.898+0530,Shiva Sharma: Thanks          The index has been added to GroupJob and GroupMeter. Moved this sev-2 Let's monitor the behaviour.
SH-5675,Sikkim Anvil: Meter communicating but data missing.,Success Hub,Ansh Sharma,"Dear   , It has come to my knowledge that the LS and DP are missing on following attachment even when the meters are communicating hence requesting you to look into this. CC:     FYI only.",Open,Service Request,2025-05-08T17:23:22.459+0530,
SH-5673,Register name plate of 10K-1 Phase & 5K-3 Phase meters on HES,Success Hub,Ritik Kumar," Please register the name plate of below series meters, 1 Phase Meters: Name Plate Detail: 3 Phase Meters: Name Plate detail:  Sir please confirm the temp id & other details  cc:       ",Review,Service Request,2025-05-08T16:11:10.236+0530,"Ritik Kumar: for 1P meters: | Ritik Kumar: for 3-p meters: | Ritik Kumar: need ful has been done | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5672,Need to Share SLA data for SAT-5 meters ,Success Hub,Ritik Kumar,"Hi, Please Share SLA data of SAT-5 meters date range is 20th April to 7th May. PFA meter list.  ",Review,Service Request,2025-05-08T15:28:55.984+0530,"Ritik Kumar:   PFA:   | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5670,GATEWAY MANAGEMENT PAGE IS LOOPING TO APPRAVA DMS IN GVPR PROD,Success Hub,Nikhil Kumar,"On Clicking to GATEWAY MANAGEMENT in GVPR PROD HES , DMS of WB apprava is opening ( https://kimbal-dms.wbapraava.com/login ). kindly resolve the issue. Thanks and Regards, PRAYAS PATRA ",Open,Issue,2025-05-08T13:40:33.643+0530,Sanchit Singh Rathee:   Please get this link corrected. 
SH-5669,please push these invalid bills to UI ,Success Hub,Lyba Noor,"please push these invalid bills to UI , as they have no issue confirmed by validation team invalid bills-awb.xlsx",Review,Issue,2025-05-08T12:47:37.879+0530,"Lyba Noor: Done.   | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5668,please update the template ID as 70 for these IMG meters,Success Hub,Lyba Noor,RF-IMG.xlsx  please change the template ID of these meters to 70.,Review,Issue,2025-05-08T12:42:20.477+0530,"Lyba Noor: done.   | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5667,Add meters to particular sub-divisions in Ferozpur division,Success Hub,Parveen Soni,Pls update the meter sub-divisions as per the above lists.,Open,Service Request,2025-05-08T12:35:44.637+0530,"Parveen Soni:  would you please ask Vivek to share the MDM meterno against these meters ? I am confuse to select actual meterno here for this site. | Harsh Agarwal:   sure sir, will provide you with the updated sheet."
SH-5666,Sequence IDs required || ANVIL Sikkim ||,Success Hub,Ansh Sharma, Please provide the sequence IDs for the meters in the attached list.  ,Review,Service Request,2025-05-08T12:29:35.657+0530,"Ansh Sharma:  | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5665,Repush Bill data to MDM,Success Hub,Ritik Kumar,"Hi, Please repush the Bill data to MDM. required meter number list is attached.  ",Review,Issue,2025-05-08T12:01:31.455+0530,"Ritik Kumar: checking | Ritik Kumar: ,  As previously mentioned, when dealing with a large list of meters, we cannot repush the data through the standard functionality due to character limits. In such cases, I can re-insert the billing data directly into the database to trigger the repush. Kindly confirm whether we should proceed with this approach, as it may result in duplicate entries in the DB. Additionally, I’d request you to review the meter list you've shared — there appear to be 178 meters that seem to be test meters, for which we don't have any data. These may be irrelevant to the current task. CC:   ,    | Karan Agrawal:   I have conveyed this solution to the customer via email and received their approval to proceed. You may now reinsert the data and then kindly repush it. | Ritik Kumar: , out of the list of 7841 meters, we only have a valid bill for 6343 meters. I’m re-inserting the data. | Ritik Kumar: data inserted: | Ritik Kumar: The list of 6343 meters that I’ve re-inserted bills for is attached in the sheet: re-inserted in the attached file:   | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5664,LTCT_Meter_Nameplate to Insert for auto registration,Success Hub,Ritik Kumar,"Hi, Please insert the LTCT meter nameplate data into the respective table for automatic meter registration, similar to how we did it in bulk for Secure meters.. Meter list sheet attached.  ",Review,Issue,2025-05-08T11:58:41.914+0530,"Ritik Kumar: needful has been done: | Ritik Kumar: all 37 meters are done | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5663,Sikkim Anvil: Requirement of routing count for last three days for analyzing the data.,Success Hub,Ansh Sharma,"Dear  , Please share routing count data for last three days. CC:     FYI only.",Review,Service Request,2025-05-08T11:33:32.082+0530,"Ansh Sharma: Hi as discussed I have automated this requierement | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5662,Need last event for intelli pkg-7,Success Hub,Naman,No description,Review,Service Request,2025-05-08T11:28:18.922+0530,"Saiful Ali Khan:    Please share the last event and last Alrms of these meters with meter RTC time . CC:-    | Naman: Please find attached the Power Events Occurrence & Restoration from 1st April to 7th April and Last Gasps from 1st March as requested - Need last event or Alrms.xlsx Moving this in review, let me know if anything remains    | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5661,Sikkim Anvil: Requirement of  power outage data from 1st May- 8th May to maintain SLA.,Success Hub,Ansh Sharma,"Dear   , Please share power outage data. CC:     FYI only.",Review,Service Request,2025-05-08T11:26:15.553+0530,"Ansh Sharma: PFA the requested data | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5653,Data missing and duplicate packet received at MDM during LS ODR SAT-19_ APDCL APraava,Success Hub,Shiva Sharma,"Data missing and duplicate packet received at MDM during LS ODR CC:     ,   ,   ,   , ",Open,Issue,2025-05-08T01:20:42.341+0530,
SH-5652,Discrepancy in event data push to MDM during Event ODR SAT-19_APDCL Apraava,Success Hub,Shiva Sharma,"Discrepancy in event data push to MDM during Event ODR SAT-19 CC:     ,   ,   ,   ,   ",Open,Issue,2025-05-08T01:13:58.935+0530,
SH-5646,2103 Nos Bill need to be repushed as per GVPR AMISP Request ,Success Hub,Nikhil Kumar,"  2103 bills need to be repushed to MDM as meters were C2M approved by MDM, i have verified the Bill RTC time stamp is correct on HES UI with 1-May-00:00. Kindly repush    of attached list.",Open,Task,2025-05-07T20:04:37.309+0530,
SH-5639,Anvil | LS Down Last 2 Hour,Success Hub,Ayush Rajput,No description,In Progress,Incident,2025-05-07T14:54:28.215+0530,Parveen Soni:  | Parveen Soni:  | Ayush Rajput: we have seen the below log very frequently yesterday at 5:13 Pm and then 9:15  PM | Parveen Soni:   deployment started
SH-5638,Add TCP Pull for 2 meters ,Success Hub,Parveen Soni,Pls add the TCP pull service for the below meters:- 030000012 030000013,Review,Service Request,2025-05-07T14:40:39.744+0530,"Parveen Soni: done | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5635,Routing is not showing in current routing report MCL,Success Hub,Ritik Kumar, As per attach file around 500 meters are showing in routing today & source end point for all meters of today is showing 10.,BUG_Raised,Issue,2025-05-07T13:17:38.958+0530,"Ritik Kumar: Hey    I have investigated the issue and found that the meters are indeed communicating. However, they are not being updated on the current routing page, which is why we are seeing a lower count of communicating meters | Ritik Kumar:    Please note that issues like this should be reported as  Incidents  rather than  Service Requests . I'm converting this to an issue for now. | Ritik Kumar: The issue is that the routing information is not being updated on the  Current Routing  page in the UI. However, routing is working correctly, as confirmed via the dashboard. A high-severity bug has been logged for this:  KRT-853 . | Pratik Thakre:  by mistake it was reported as service request | Ritik Kumar:  no issues brother | Pratik Thakre:  Please take follow up on the bug raised from your end. Maximum commands are getting failed because of this issue also we are not able to provide accurate communication report to client as well. cc:       "
SH-5633,AMI CT : Need to remove drift meters from RTC table,Success Hub,Ansh Sharma,No description,Close,Service Request,2025-05-07T12:16:04.157+0530,"Ansh Sharma: As requested I have deleted the entries from DeviceClock and LatestDeviceClock for the given meters. | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5630,AMI CT : Sample ID required for DP data for April,Success Hub,Ansh Sharma,No description,Close,Service Request,2025-05-07T10:51:31.598+0530,"Ansh Sharma: PFA the requested Data    | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5616,WB_Apraava Queue service is down,Success Hub,Ansh Sharma,Please check and restart the service,Close,Service Request,2025-05-06T22:53:09.740+0530,"Ansh Sharma: I had already restarted the docker and the data is also being set to MDM now  Category  LastDataReadOn  LastDataReadCreatedOn  LastDataReadID  MeterNumberOfLastRead  PendingMeterIdsToReprocess singlephase.BlockLoadProfile  2025-05-06 23:36:49.343  2025-05-06 18:06:47.000  999823222  AKL0003536  NULL | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5615,WB Apraava Prod SLA reports pages are not working,Success Hub,Ritik Kumar,"Hi, The SLA reports (LS, DP, Billing) pages are not working on the WB_Apraava Prod HES environment. Please look into this as the customer is continuously following up with me. PFB the Snap for the response we are getting during we try to open the page - ",In Progress,Issue,2025-05-06T22:43:53.316+0530,"Ritik Kumar: thans for reporting, I’ll write up a bug for the same."
SH-5614,AMI 1&2 : LS and DP SLA from 1st April to 30th April,Success Hub,Ansh Sharma,No description,Close,Service Request,2025-05-06T22:41:36.427+0530,"Ansh Sharma: PFA the requiered data | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5613,Power Outage details from 23rd April 2025 for Non-SAT meters.,Success Hub,Shiva Sharma," , Please share outage data from 23-04-25 for Non-SAT meters for exclusion mapping. kindly share at your earliest response. CC:   ",Open,Service Request,2025-05-06T22:39:22.873+0530,
SH-5607,Sikkim Anvil: Requirement of power outage data for January.,Success Hub,Ansh Sharma,Dear   Please share the power outage report. CC:     FYI only.,Close,Service Request,2025-05-06T20:43:03.133+0530,"Ansh Sharma: PFA the data    | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5604,PrepaidParametersV2 is not working for WB Apraava T&D,Success Hub,Ritik Kumar,"Hi, We need to update the Current balance and current balance date and time and for which we are testing the following endpoint -  https://tnd-kimbal-hesapi.wbapraava.com /api/HES/SubmitPrepaidParametersV2. Which is giving 500 error to MDM team and testing got stuck and its important as WB DISCOM wants it to deploy by this week itself. we need to test it in T&D and then we have to take it to prod. please resolve the issue on top priority please.",Close,Issue,2025-05-06T18:21:07.895+0530,"Ritik Kumar:  | Karan Agrawal:   - PFB the point wise reply on your queries. | Ritik Kumar:   Please provide one test meter in TND and one in PROD with routing enabled for testing purposes. I will be able to proceed with BUG only after that. | Karan Agrawal:  AKL0000047 or AKL0000067 - We can use the same meters for T&D and production. Just ping me, and I'll shift the gateway to production — the same meters will be available for testing on production. | Ritik Kumar: Now it's resolved in TND also, there was a table missing which is required for V2 endpoint, now, I’ve managed to get that created, its working fine, please get this chceked | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5599,Required to change Template of meter to 70.,Success Hub,Ayush Rajput,"Hello   sir, Please change template id for following meters to 70, as these are converted to IMG. CC:   ",Review,Task,2025-05-06T17:17:01.691+0530,"Ayush Rajput:   I have changed the template to 70. | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5598,"ORD commands OF LS are failed, and success rate is 0%/",Success Hub,Ayush Rajput,"Hello    sir, LS ODR commands which are manually initiated in Nashik environment are failed, success rate is 0 % please check. CC:   ",Open,Issue,2025-05-06T17:06:43.292+0530,
SH-5597,Responses strucutres/sampples from GVPR T&D and Prod: Accenture Oracle,Success Hub,Mohit Srivastava,Need response structure for EHES integration,Review,Service Request,2025-05-06T16:17:47.487+0530,"Avinash Kumar:   please update when we can expect completion of this. | Nikhil Kumar: Working on the same, will try to update you till today EOD | Nikhil Kumar: available command responses from GVPR TnD env ( both success as well as failed response structure) | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Avinash Kumar:  please check sanity and review correctness. Team can pick development as per priority later.  | Mohit Srivastava:  Actually gaps come when they are actually tested with MDM integration. I will get it configured in db and code sometime around next to next week. I hope it is okay."
SH-5596,Manual Nameplate Registration: - AP10421043,Success Hub,Shiva Sharma," , Please register the namplate of following meter  AP10421043.",Close,Service Request,2025-05-06T16:16:14.803+0530,"Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5594,Push data from 3rd to 5th May 25 || ANVIL Sikkim ||,Success Hub,Ansh Sharma, Please provide the requested data.,Close,Service Request,2025-05-06T15:54:07.768+0530,"Ansh Sharma:  | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5593,Required meters having New Firmware activate (157) event occurred in NCC Aurangabad.,Success Hub,Lyba Noor,"Hi  , please refer below the meter lists on which FOTA has been successfully done. To validate this, please share on which meters “New Firmware activate (157)” event occurred and received at HES. I am attaching two different meters list, please check the event in both of these lists seperately.     cc:   ",Close,Service Request,2025-05-06T15:51:05.302+0530,"Lyba Noor: Hi    for Check_2 meters i have fetched data from past 3 days and found records of 77 meters for Check_1 meters i have fetched data from past 7 days and found records of 276 meters | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5590,GR Commands are not processing,Success Hub,Naman,No description,Open,Service Request,2025-05-06T15:21:02.238+0530,"Yash Jain: Hi    GR commands are not processing even after the meters are in communication. Please find the below the status of Meters with pending GR from 1st to 5th May. there are 79032 commands pending which are not picked from 1st to 5th May. CC:      | Yash Jain: Hi   do we have any update on this, since we are breaching the 12hr LS SLA from the last 3 days due to increase in number of pending GR commands. Do we have any update on this? | amit kumar sharma:     GR are not working since last three days. Please do necessary latest GR related change."
SH-5589,Need to fail all pending commands till 05-5-2025 ,Success Hub,Unassigned,Need to clear all pending commands till 05-05-2025,Open,Service Request,2025-05-06T15:07:44.481+0530,
SH-5588,Need to register 3-ph meter on Wb Apraava T&D for FOTA,Success Hub,Ritik Kumar,"Hi, Please register the 8 meters attached below for FOTA on 3-ph meters on Apraava WB T&D. please take all the details from already registered meter of AKJ series from T&D itself.",Close,Issue,2025-05-06T14:48:04.156+0530,"Ritik Kumar: needful has been done  | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5587,Need to register 3-ph meter on Wb Apraava T&D for FOTA,Success Hub,Ritik Kumar,"Hi, Please register the 8 meters attached below for FOTA on 3-ph meters on Apraava WB T&D. please take all the details from already registered meter of AKJ series from T&D itself.",Close,Issue,2025-05-06T14:44:16.864+0530,"Ritik Kumar: needful has been done  | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5586,Need to register 3-ph meter on Wb Apraava T&D for FOTA,Success Hub,Ritik Kumar,"Hi, Please register the 10 meters attached below for FOTA on 3-ph meters on Apraava WB T&D. please take all the details from already registered meter of AKJ series from T&D itself. AKJ0001280 AKJ0000076 AKJ0000448 AKJ0000237 AKJ0000125 AKJ0000517",Close,Issue,2025-05-06T14:42:57.302+0530,"Ritik Kumar: needful has been done  | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5585,High number of GR commands are in pending even when the meters are in good comm.,Success Hub,Lyba Noor,"High number of GR commands are in pending even when the meters are in good comm., please check CC-     ",BUG_Raised,Issue,2025-05-06T14:42:51.956+0530,"Aashwin Karan Singh:  sir, please have a look SLAs are breaching"
SH-5584,Need to register 3-ph meter on Wb Apraava T&D for FOTA,Success Hub,Ritik Kumar,"Hi, Please register the 10 meters attached below for FOTA on 3-ph meters on Apraava WB T&D. please take all the details from already registered meter of AKJ series from T&D itself. AKJ0000293 AKJ0000353 AKJ0000418 AKL0000475 AKJ0000505 AKJ0000637 AKJ0000462 AKJ0000852 AKJ0000102 AKJ0000023",Close,Issue,2025-05-06T14:41:22.172+0530,"Ritik Kumar: needful has been done  | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5583,Create HES credentials for MCL-HES,Success Hub,Ritik Kumar, Please create admin credential for  Hridayesh.Dewan@kimbal.io  in MCL-HES,Close,Service Request,2025-05-06T14:32:39.099+0530,"Ritik Kumar: user has been created, I’ve DM’s you the password. | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5571,Anvil | Data Requirement.,Success Hub,Ayush Rajput,please provide the SLA data for the month of April. 1 - 8Hrs LS SLA 2 - 12Hrs LS SLA 3 - DP SLA 4 - Billing SLA,Close,Service Request,2025-05-05T22:36:23.947+0530,"Ayush Rajput: please find the attached file for the mentioned data           | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5570,Add temp ID 103 on staging environment and update the same on name plate,Success Hub,Ritik Kumar,"Hi   : We are going to start a field trail of Kmesh Solution in MCL soon. Before start it on prod, we are checking this solution on staging environment. So can you pls add temp ID 103 on staging so that we can start the testing of this solution.   Staging URL:  Crystal Power, Smart Grid Solutions Also update name plate with 103 temp ID for following two meters. AS9005515 AS9005529",Close,Service Request,2025-05-05T22:17:47.949+0530,"Ritik Kumar: needful has been done | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
